,date,cash_data,vol,dif,ret1,ret2,ret3
9/16/2021 22:30,9/16/2021 22:30,34751.2,6055,-108,1.930013233,-1.256238232,-0.605342057
9/16/2021 23:00,9/16/2021 23:00,34766.2,789,15,0.139074584,0.268415788,-1.661597445
9/16/2021 23:30,9/16/2021 23:30,34730.34,789,-35.86,2.391384421,0.332580794,0.19350621
9/17/2021 1:00,9/17/2021 1:00,34732.34,380,2,0.05579963,0.133438366,-2.257946055
9/17/2021 1:30,9/17/2021 1:30,34753.2,380,20.86,-10.42656895,-0.581798691,-0.637598321
9/17/2021 2:00,9/17/2021 2:00,34751.34,832,-1.86,0.08914149,-0.929439896,9.497129056
9/17/2021 2:30,9/17/2021 2:30,34698.24,832,-53.1,-28.57098487,-2.546860172,-2.636001662
9/17/2021 3:00,9/17/2021 3:00,34729.2,1662,30.96,0.583236704,-16.66364704,11.90733782
9/17/2021 3:30,9/17/2021 3:30,34695.34,1662,-33.86,1.09371495,0.637894702,0.054657998
9/17/2021 4:00,9/17/2021 4:00,34684.24,2431,-11.1,-0.328032851,-0.358774433,-1.452489383
9/17/2021 4:30,9/17/2021 4:30,34748.2,2431,63.96,5.757776918,-1.888739978,-1.560707127
9/17/2021 5:00,9/17/2021 5:00,34730.34,1559,-17.86,0.279051673,1.606717279,-4.151059638
9/17/2021 5:30,9/17/2021 5:30,34757.34,1559,27,1.511559314,0.421803155,0.142751482
9/17/2021 6:00,9/17/2021 6:00,34742.34,1322,-15,0.555459613,0.839610151,-0.671949163
9/17/2021 6:30,9/17/2021 6:30,34780.2,1322,37.86,2.523170283,1.401519188,0.846059575
9/17/2021 7:00,9/17/2021 7:00,34760.2,831,-20,0.528126307,1.332552604,-1.190617679
9/17/2021 7:30,9/17/2021 7:30,34795.7,831,35.5,1.77460456,0.937215353,0.409089046
9/17/2021 8:00,9/17/2021 8:00,34805.7,1367,10,-0.281505971,-0.49956178,-2.27416634
9/17/2021 8:30,9/17/2021 8:30,34778.7,1367,-27,2.700659748,-0.760251845,-0.478745874
9/17/2021 9:00,9/17/2021 9:00,34786.2,1572,7.5,0.27785563,0.750393515,-1.950266232
9/17/2021 9:30,9/17/2021 9:30,34821.2,1572,35,-4.663817728,-1.295868012,-1.573723642
9/17/2021 10:00,9/17/2021 10:00,34843.2,3719,22,-0.628057094,2.929143809,7.592961537
9/17/2021 10:30,9/17/2021 10:30,34768.2,3719,-75,3.411687694,-2.142734659,-1.514677565
9/17/2021 11:00,9/17/2021 11:00,34801.2,2144,33,0.440265497,1.502048377,-1.909639317
9/17/2021 11:30,9/17/2021 11:30,34775.2,2144,-26,0.787799498,0.346840937,-0.093424559
9/17/2021 12:00,9/17/2021 12:00,34793.34,3603,18.14,0.697771118,0.549703736,-0.238095762
9/17/2021 12:30,9/17/2021 12:30,34686.34,3603,-107,5.906115123,4.121116551,3.423345433
9/17/2021 13:00,9/17/2021 13:00,34722.2,4100,35.86,0.335483452,1.98140389,-3.924711233
9/17/2021 13:30,9/17/2021 13:30,34647.7,4100,-74.5,2.078681527,0.697363255,0.361879802
9/17/2021 14:00,9/17/2021 14:00,34712.7,3144,65,0.872602642,1.813862992,-0.264818535
9/17/2021 14:30,9/17/2021 14:30,34665.34,3144,-47.36,0.728430027,0.635629966,-0.236972676
9/17/2021 15:00,9/17/2021 15:00,34690.34,2674,25,0.528041746,0.384641464,-0.343788564
9/17/2021 15:30,9/17/2021 15:30,34760.7,2674,70.36,-2.810536518,-1.484080611,-2.012122357
9/17/2021 16:00,9/17/2021 16:00,34783.34,7262,22.64,-0.321343334,0.903147176,3.713683693
9/17/2021 16:30,9/17/2021 16:30,34631.2,7262,-152.14,6.732511996,-2.163447853,-1.842104518
9/17/2021 17:00,9/17/2021 17:00,34701.34,9985,70.14,0.461567415,3.107508157,-3.625003838
9/17/2021 17:30,9/17/2021 17:30,34539.34,9985,-162,2.312733993,1.067482651,0.605915236
9/17/2021 18:00,9/17/2021 18:00,34629.2,8999,89.86,0.555269178,1.284189903,-1.02854409
9/17/2021 18:30,9/17/2021 18:30,34517.2,8999,-112,1.246782731,0.692300022,0.137030844
9/17/2021 19:00,9/17/2021 19:00,34554.7,6457,37.5,0.335182302,0.417899506,-0.828883225
9/17/2021 19:30,9/17/2021 19:30,34666.2,6457,111.5,-2.966935421,-0.994464245,-1.329646547
9/17/2021 20:00,9/17/2021 20:00,34636.2,5725,-30,0.268741666,-0.797339169,2.169596252
9/17/2021 20:30,9/17/2021 20:30,34521.2,5725,-115,-3.841373855,-1.032337211,-1.301078877
9/17/2021 21:00,9/17/2021 21:00,34605.2,6755,84,0.730762035,-2.807130176,1.03424368
9/17/2021 21:30,9/17/2021 21:30,34537.7,6755,-67.5,0.803379527,0.587079258,-0.143682777
9/17/2021 22:00,9/17/2021 22:00,34544.7,8294,7,0.103794491,0.083386369,-0.719993158
9/17/2021 22:30,9/17/2021 22:30,34623.7,8294,79,-11.27168714,-1.169939032,-1.273733524
9/17/2021 23:00,9/17/2021 23:00,34583.7,1349,-40,0.506043622,-5.703965386,5.567721756
9/17/2021 23:30,9/17/2021 23:30,34485.24,1349,-98.46,-2.466435876,-1.248124144,-1.754167766
9/20/2021 1:00,9/20/2021 1:00,34539.24,1539,54,0.548799074,-1.353577726,1.11285815
9/20/2021 1:30,9/20/2021 1:30,34458.34,1539,-80.9,1.49873261,0.822503069,0.273703995
9/20/2021 2:00,9/20/2021 2:00,34461.2,1227,2.86,0.035392301,0.053043596,-1.445689014
9/20/2021 2:30,9/20/2021 2:30,34520.2,1227,59,-20.61087598,-0.729466331,-0.764858632
9/20/2021 3:00,9/20/2021 3:00,34532.2,1731,12,-0.203180657,4.187731315,24.79860729
9/20/2021 3:30,9/20/2021 3:30,34489.7,1731,-42.5,3.543232101,-0.719916225,-0.516735568
9/20/2021 4:00,9/20/2021 4:00,34504.2,2148,14.5,0.341314893,1.209357886,-2.333874215
9/20/2021 4:30,9/20/2021 4:30,34395.34,2148,-108.86,7.517874218,2.565962435,2.224647542
9/20/2021 5:00,9/20/2021 5:00,34399.2,3119,3.86,0.035512477,0.266978335,-7.250895883
