,date,cash_data,vol,dif,ret1,ret2,ret3
10/13/2021 6:30,10/13/2021 6:30,1762.43,2303,2.36,7.370729968,-1.035252286,-0.894797773
10/13/2021 7:00,10/13/2021 7:00,1763.24,1497,0.81,-0.342911697,-2.527509525,-9.898239493
10/13/2021 7:30,10/13/2021 7:30,1761.4,1497,-1.84,2.272268932,-0.779187597,-0.436275899
10/13/2021 8:00,10/13/2021 8:00,1760.59,2193,-0.81,-0.440548585,-1.001044864,-3.273313796
10/13/2021 8:30,10/13/2021 8:30,1762.72,2193,2.13,2.628644719,-1.158045713,-0.717497127
10/13/2021 9:00,10/13/2021 9:00,1761.44,4134,-1.28,0.600793979,1.579273919,-1.0493708
10/13/2021 9:30,10/13/2021 9:30,1763.61,4134,2.17,1.694884609,1.018276468,0.417482489
10/13/2021 10:00,10/13/2021 10:00,1761.77,2596,-1.84,0.847846865,1.437002603,-0.257882006
10/13/2021 10:30,10/13/2021 10:30,1765.69,2596,3.92,2.129179235,1.80521794,0.957371075
10/13/2021 11:00,10/13/2021 11:00,1764.95,3030,-0.74,0.188605408,0.401574718,-1.727604517
10/13/2021 11:30,10/13/2021 11:30,1768.86,3030,3.91,5.279046049,0.995656633,0.807051225
10/13/2021 12:00,10/13/2021 12:00,1766.28,1965,-2.58,0.659598146,3.482048986,-1.796997062
10/13/2021 12:30,10/13/2021 12:30,1768.34,1965,2.06,0.798567026,0.52673333,-0.132864816
10/13/2021 13:00,10/13/2021 13:00,1767.4,2101,-0.94,0.456166095,0.364279202,-0.434287824
10/13/2021 13:30,10/13/2021 13:30,1773.34,2101,5.94,6.310231221,2.878513536,2.422347441
10/13/2021 14:00,10/13/2021 14:00,1770.68,2462,-2.66,0.447396661,2.823176381,-3.48705484
10/13/2021 14:30,10/13/2021 14:30,1774.32,2462,3.64,1.368042982,0.612057863,0.164661202
10/13/2021 15:00,10/13/2021 15:00,1777.57,9174,3.25,-0.891125103,-1.219097444,-2.587140426
10/13/2021 15:30,10/13/2021 15:30,1758.17,9174,-19.4,5.996554591,-5.343680328,-4.452555225
10/13/2021 16:00,10/13/2021 16:00,1757.79,10464,-0.38,-0.019697627,-0.118117895,-6.114672485
10/13/2021 16:30,10/13/2021 16:30,1782.73,10464,24.94,65.17738137,-1.283839738,-1.264142111
10/13/2021 17:00,10/13/2021 17:00,1781.51,9711,-1.22,0.048591055,3.167037714,-62.01034366
10/13/2021 17:30,10/13/2021 17:30,1795.52,9711,14.01,11.44260393,0.556008195,0.50741714
10/13/2021 18:00,10/13/2021 18:00,1796.03,5028,0.51,-0.036255215,-0.414854069,-11.857458
10/13/2021 18:30,10/13/2021 18:30,1791.26,5028,-4.77,9.364053493,-0.339495776,-0.30324056
10/13/2021 19:00,10/13/2021 19:00,1795.5,3819,4.24,0.889020126,8.324832019,-1.039221474
10/13/2021 19:30,10/13/2021 19:30,1792.22,3819,-3.28,0.773377765,0.687548399,-0.201471728
10/13/2021 20:00,10/13/2021 20:00,1795.06,4195,2.84,0.8659598,0.669714055,-0.10366371
10/13/2021 20:30,10/13/2021 20:30,1790.53,4195,-4.53,1.595822744,1.381918345,0.515958545
10/13/2021 21:00,10/13/2021 21:00,1790.63,4584,0.1,0.022102351,0.035271434,-1.56055131
10/13/2021 21:30,10/13/2021 21:30,1793.69,4584,3.06,-30.57302992,-0.675735836,-0.697838187
10/13/2021 22:00,10/13/2021 22:00,1793.69,3088,0,0,0,30.57302992
10/13/2021 22:30,10/13/2021 22:30,1790.73,3088,-2.96,#DIV/0!,-0.96729326,-0.96729326
10/13/2021 23:00,10/13/2021 23:00,1791.78,1180,1.05,0.354918782,#DIV/0!,#DIV/0!
10/13/2021 23:30,10/13/2021 23:30,1793.29,1180,1.51,-1.437068378,-0.510042558,-0.86496134
10/14/2021 1:00,10/14/2021 1:00,1792.17,802,-1.12,0.741641156,-1.065789052,0.371279325
10/14/2021 1:30,10/14/2021 1:30,1793.53,802,1.36,1.214204458,0.900503997,0.158862842
10/14/2021 2:00,10/14/2021 2:00,1793.02,1048,-0.51,0.374911111,0.455218742,-0.758985716
10/14/2021 2:30,10/14/2021 2:30,1791.56,1048,-1.46,-2.864318534,-1.073864843,-1.448775954
10/14/2021 3:00,10/14/2021 3:00,1791.13,2661,-0.43,-0.294675903,0.844045652,3.708364185
10/14/2021 3:30,10/14/2021 3:30,1793.08,2661,1.95,4.532960983,-1.335754373,-1.041078469
10/14/2021 4:00,10/14/2021 4:00,1793.77,3175,0.69,-0.353585685,-1.602790113,-6.135751096
10/14/2021 4:30,10/14/2021 4:30,1788.98,3175,-4.79,6.949977307,-2.457412485,-2.103826801
10/14/2021 5:00,10/14/2021 5:00,1790.01,2999,1.03,0.2152571,1.496031957,-5.453945349
