,date,cash_data,vol,ret1
211,1/18/2020 18:00,8855,19430.095,1.372522468
212,1/18/2020 20:00,8901,14556.487,0.542362221
213,1/18/2020 22:00,8968,14556.487,-1.44731453
214,1/19/2020 0:00,8898.88,49762.198,1.031764513
215,1/19/2020 2:00,9205.3,49762.198,4.375448228
216,1/19/2020 4:00,9173.17,20710.877,0.103281394
217,1/19/2020 6:00,9047.95,20710.877,-3.931005522
218,1/19/2020 8:00,9135,62122.992,0.696630173
219,1/19/2020 10:00,8505,62122.992,7.463095016
220,1/19/2020 12:00,8704.82,34504.6,0.324979094
221,1/19/2020 14:00,8572.32,34504.6,0.660496312
222,1/19/2020 16:00,8618.17,16266.504,0.347775972
223,1/19/2020 18:00,8685.34,16266.504,-1.455429615
224,1/19/2020 20:00,8760.93,40901.216,-1.116146372
225,1/19/2020 22:00,8440.91,40901.216,4.294255241
226,1/20/2020 0:00,8740,22537.553,0.935722944
227,1/20/2020 2:00,8628.06,22537.553,0.370203397
228,1/20/2020 4:00,8699.55,13081.452,0.640131342
229,1/20/2020 6:00,8636.22,13081.452,0.885440101
230,1/20/2020 8:00,8686,16044.684,0.786654904
231,1/20/2020 10:00,8601,16044.684,1.711000971
232,1/20/2020 12:00,8526.06,36661.405,-0.889878773
233,1/20/2020 14:00,8686,36661.405,2.123748571
234,1/20/2020 16:00,8710.65,14414.026,-0.15248069
235,1/20/2020 18:00,8645,14414.026,2.669588545
236,1/20/2020 20:00,8750.37,21499.923,1.601373741
237,1/20/2020 22:00,8612.51,21499.923,1.31080176
238,1/21/2020 0:00,8621.27,12043.044,0.06401739
239,1/21/2020 2:00,8688,12043.044,-7.584394683
240,1/21/2020 4:00,8700,9806.522,-0.179014067
241,1/21/2020 6:00,8630,9806.522,5.85288722
242,1/21/2020 8:00,8608.71,14839.447,-0.305751981
243,1/21/2020 10:00,8684,14839.447,3.525379416
244,1/21/2020 12:00,8640,7794.152,0.583348993
245,1/21/2020 14:00,8682.7,7794.152,0.970527253
246,1/21/2020 16:00,8669,22368.604,0.320306282
247,1/21/2020 18:00,8448.6,22368.604,-16.30850273
248,1/21/2020 20:00,8534,39854.152,0.390539201
249,1/21/2020 22:00,8790.1,39854.152,-2.93990424
250,1/22/2020 0:00,8764,9634.102,0.100570758
251,1/22/2020 2:00,8709,9634.102,-2.117065952
252,1/22/2020 4:00,8820,17559.195,2.011754567
253,1/22/2020 6:00,8710,17559.195,0.990934221
254,1/22/2020 8:00,8749,25116.535,0.355983194
255,1/22/2020 10:00,8616.09,25116.535,3.426440036
256,1/22/2020 12:00,8679.98,12435.359,0.482612236
257,1/22/2020 14:00,8639.4,12435.359,0.634297599
258,1/22/2020 16:00,8585.85,22770.14,-1.326828661
259,1/22/2020 18:00,8720.59,22770.14,2.504391589
