date,CashData
11/30/2020 1:00,1764.22
12/1/2020 1:00,1775.58
12/1/2020 1:00,1816.98
12/2/2020 1:00,1807.43
12/2/2020 1:00,1832.55
12/3/2020 1:00,1843.87
12/3/2020 1:00,1823.62
12/4/2020 1:00,1848.16
12/4/2020 1:00,1829.11
12/7/2020 1:00,1821.83
12/7/2020 1:00,1868.14
12/8/2020 1:00,1860.15
12/8/2020 1:00,1875.22
12/9/2020 1:00,1870.84
12/9/2020 1:00,1825.33
12/10/2020 1:00,1828.65
12/10/2020 1:00,1849.96
12/11/2020 1:00,1823.86
12/11/2020 1:00,1847.64
12/14/2020 1:00,1841.35
12/14/2020 1:00,1819.07
12/15/2020 1:00,1825.36
12/15/2020 1:00,1855.37
12/16/2020 1:00,1865.63
12/16/2020 1:00,1844.7
12/17/2020 1:00,1861.93
12/17/2020 1:00,1896.18
12/18/2020 1:00,1877.4
12/18/2020 1:00,1889.53
12/21/2020 1:00,1906.68
12/21/2020 1:00,1854.89
12/22/2020 1:00,1884.18
12/22/2020 1:00,1858.25
12/23/2020 1:00,1856.98
12/23/2020 1:00,1878.45
12/24/2020 1:00,1869.43
12/24/2020 1:00,1883.35
12/28/2020 1:00,1900.09
12/28/2020 1:00,1869.1
12/29/2020 1:00,1871.63
12/29/2020 1:00,1886.34
12/30/2020 1:00,1876.06
12/30/2020 1:00,1894.45
12/31/2020 1:00,1885.41
12/31/2020 1:00,1900.39
1/4/2021 1:00,1902.46
1/4/2021 1:00,1944.4
1/5/2021 1:00,1934.23
1/5/2021 1:00,1952.94
1/6/2021 1:00,1959.23
1/6/2021 1:00,1900.77
1/7/2021 1:00,1927.64
1/7/2021 1:00,1906.7
1/8/2021 1:00,1917.4
1/8/2021 1:00,1828.31
1/11/2021 1:00,1856.66
1/11/2021 1:00,1817.24
1/12/2021 1:00,1863.8
1/12/2021 1:00,1837.28
1/13/2021 1:00,1862.96
1/13/2021 1:00,1841.88
1/14/2021 1:00,1828.97
1/14/2021 1:00,1857.56
